w1,w2,w0,porcentaje
umbral = 75 eta = 0.01,,,
0.2180230288732763,0.1827976786006388,-0.2457730162823333,92.46231155778896
0.2531391026067964,0.2408771285633232,-0.2555499243751541,93.96984924623116
0.2063245608534091,0.2310065656653817,-0.2484275358696944,93.96984924623116
0.2087699444247266,0.1904617743267284,-0.2435273680013384,93.96984924623116
0.2054532127877301,0.2293412977240357,-0.2455238333719492,93.96984924623116
umbral = 95 eta = 0.01,,,
0.2958200640005306,0.2565798184438863,-0.3278341919055648,92.46231155778896
0.2879279638501754,0.2612429234963428,-0.3216050670284244,92.46231155778896
0.2446378819106228,0.2471275061449695,-0.2703780063464553,92.964824120603
umbral = 99 eta = 0.01,,,
0.2697948372357844,0.2850373902654853,-0.2984200094824653,93.46733668341707
0.1302313801411231,0.1154175068572102,-0.1701719604326204,93.96984924623116
0.0295951802984462,0.03089545271601,-0.0395398523229037,94.9748743718593
